Game Title,Steam ID,Discounted,OG Price,New Price
15/02/2015,,,,
Total War: ROME II - Emperor Edition,214950,-75%,59.95,14.98
Borderlands: The Pre-Sequel,261640,-50%,59.99,29.99
Garry's Mod,4000,-75%,9.99,2.49
Far Cry 4,298110,-33%,59.99,40.19
Borderlands 2,49520,-75%,19.99,4.99
Portal 2,620,-75%,19.99,4.99
NBA 2K15,282350,-50%,59.99,29.99
Don't Starve Together,322330,-25%,22.99,17.24
Project Zomboid,108600,-35%,14.99,9.74
The Escapists,298630,-25%,17.99,13.49
Dungeon Defenders II,236110,-20%,24.99,19.99
Company of Heroes 2 - Ardennes Assault,317850,-66%,39.99,13.59
Terraria,105600,-70%,9.99,2.99
Borderlands: Game of the Year,8980,-75%,29.99,7.49
Offworld Trading Company,271240,-10%,39.99,35.99
Saints Row: The Third,55230,-75%,14.99,3.74
Company of Heroes 2,231430,-75%,39.99,9.99
Saints Row IV,206420,-75%,19.99,4.99
Serious Sam Classic: The First Encounter,41050,-80%,99.99,19.99
Saints Row 2,9480,-75%,9.99,2.49
Broforce,274190,-25%,14.99,11.24
Castle Crashers,204360,-75%,14.99,3.74
Lethal League,261180,-50%,13.99,6.99
Gauntlet,258970,-50%,19.99,9.99
The Jackbox Party Pack,331670,-25%,24.99,18.74
